순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호
597,포비컴(주),서울특별시 강남구 논현로152길 34 (신사동) 선인빌딩 3층,02-545-5074,포비컴,생활용품·소비재·기타,기타 사업지원/유통/전자상거래,9
601,(주)넥스트라운드,서울특별시 강남구 봉은사로49길 38 (4층) (논현동),02-3446-9795,넥스트라운드,온오프라인 IR 이벤트,광고 대행/서비스 제공업체,1
606,(주)필라멘트리,서울특별시 강남구 봉은사로49길 17  (논현동),02-517-2102,필라멘트리,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
612,(주)오브제길드,서울특별시 강남구 도산대로26길 17 (1층) (논현동),02-3446-7681,오브제길드,통신판매업,기타 사업지원/유통/전자상거래,9
613,(주)우라늄이삼팔,서울특별시 강남구 논현로133길 10  (논현동),02-548-5238,우라늄이삼팔,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",미디어/콘텐츠 제작,2
615,(주)다올커뮤니케이션즈,"서울특별시 강남구 도곡로 148 2층 (도곡동, 하우빌딩)",02-2069-0680,다올커뮤니케이션즈,"종합광고대행,학술연구,연구인력용역,연구용역,연구개발지원",광고 대행/서비스 제공업체,1
618,이노마스(주),"서울특별시 강남구 선릉로112길 71 유진빌딩 5, 6층 (삼성동)",02-583-6040,이노마스,간판 및 광고물 제조업,디자인 및 시각/산업 디자인,3
621,(주)아이티라인,"서울특별시 강남구 영동대로 648 삼안빌딩 6층, 7층, 8층 (삼성동)",02-3480-5500,아이티라인,시스템 소프트웨어 개발 및 공급업,IT/디지털/소프트웨어,5
623,(주)이스트마케팅그룹,서울특별시 강남구 봉은사로 327 궁도빌딩 9층 (논현동),02-3444-8034,이스트마케팅그룹,"제조기업, 경영컨설팅기업",마케팅/브랜드/리서치,4
629,오브라운(주),서울특별시 강남구 테헤란로 437 삼영빌딩 8층 (삼성동),02-557-6203,오브라운,캠페인 전략 너머 제품 및 서비스 디자인과 컨설팅,마케팅/브랜드/리서치,4
636,(주)에이치앤코,서울특별시 강남구 선릉로157길 27  (신사동) 4층,02-6225-0630,에이치앤코,"화장품, 뷰티",산업군별 마케팅 영역,7-6
637,에스알픽쳐스(주),서울특별시 강남구 학동로101길 21 3층 (청담동 신우빌딩) (청담동),02-6368-9889,에스알픽쳐스,방송 프로그램 제작업,미디어/콘텐츠 제작,2
640,(주)벡터컴,서울특별시 강남구 논현로81길 12  (역삼동) 조앤리빌딩 2층,02-511-5934,벡터컴,"광고 대행,광고물 제작,디자인,컨설팅/가정용품 도소매,무역,전자상거래/신문 발행",미디어/콘텐츠 제작,2
642,(주)얼리스프링,서울특별시 강남구 강남대로92길 31 민석빌딩 3층,070-4618-3849,얼리스프링,시각 디자인업,디자인 및 시각/산업 디자인,3
647,(주)위드플라이커뮤니케이션즈,서울특별시 강남구 선릉로 743 4층 사코빌딩 (논현동),02-517-2311,위드플라이커뮤니케이션즈,방송·광고·영상·오디오,미디어/콘텐츠 제작,2
652,주식회사 올바로,서울특별시 강남구 선릉로76길 22 3층 (대치동),02-858-5858,식회사 올바로,도매사업,산업군별 마케팅 영역,9
655,(주)유커뮤니케이션즈,서울특별시 강남구 테헤란로33길 5  (역삼동) 11층,02-515-6333,커뮤니케이션즈,"전시, 컨벤션 및 행사 대행업",광고 대행/서비스 제공업체,1
659,(주)미디어마인드,서울특별시 강남구 도곡로 419 2층 (대치동),070-4837-2425,미디어마인드,"광고대행,전자상거래,경영컨설팅",광고 대행/서비스 제공업체,1
662,(주)미루애드,서울특별시 강남구 자곡로 191 강남푸르지오시티 1차  (자곡동),02-445-3953,미루애드,옥외광고 매체 홍보,광고 대행/서비스 제공업체,1
667,(주)피터팬랩,서울특별시 강남구 언주로85길 29  (역삼동) 4층,070-4820-0081,피터팬랩,컨텐츠 개발 업체,마케팅/브랜드/리서치,4
669,(주)이지스커뮤니케이션즈,서울특별시 강남구 논현로81길 8 화진빌딩 (역삼동),02-566-1372,이지스커뮤니케이션즈,공공관계 서비스업,광고 대행/서비스 제공업체,1
670,(주)에이블리커뮤니케이션즈,서울특별시 강남구 테헤란로33길 35 펠릭스빌딩 (역삼동),070-4888-1094,에이블리커뮤니케이션즈,패션,산업군별 마케팅 영역,7-6
672,(주)팩토리나인컴퍼니,"서울특별시 강남구 테헤란로64길 13 1011에이호 (대치동, 선릉역 풍림아이원레몬)",02-6487-7899,팩토리나인컴퍼니,광고 대행업,광고 대행/서비스 제공업체,1
681,(주)스토리컴,서울특별시 강남구 논현로146길 16 2층 (논현동),070-8262-1152,스토리컴,"광고대행,홍보대행,종합홍보대행,태블릿 충전함,태블릿 충전함,상품 종합 도매업,전자상거래 소매업,소프트웨어 개발 및 공급업,광고물,광고영상제작,홍보영상제",광고 대행/서비스 제공업체,1
692,(주)전파상프로덕션,서울특별시 강남구 압구정로30길 74 성호빌딩 4층 (신사동),02-540-0252,전파상프로덕션,"광고,홍보,전시",광고 대행/서비스 제공업체,1
694,(주)프로븐,서울특별시 강남구 역삼로 558 안양빌딩 (대치동),02-3496-6100,프로븐,"광고,홍보,전시",광고 대행/서비스 제공업체,1
698,(주)시너지플랜트,"서울특별시 강남구 영동대로 602 (삼성동, 삼성동 미켈란 107) 6층 삼성글로비즈 6호",02-522-7731,시너지플랜트,"광고 대행,PR,모바일",광고 대행/서비스 제공업체,1
701,한피알(주),서울특별시 강남구 압구정로72길 21 부원빌딩 3층 (청담동),070-3223-1037,한피알,"융합PR, PR마케팅, PR컨설팅",마케팅/브랜드/리서치,4
702,(주)인투크리에이티브그룹,서울특별시 강남구 논현로 715 4층 가나빌딩 (논현동),02-3446-3062,인투크리에이티브그룹,패션,산업군별 마케팅 영역,7-6
712,(주)원츠메이커,서울특별시 강남구 언주로153길 8 3층 (신사동),02-786-0701,원츠메이커,"광고,홍보,전시",이벤트/전시/행사 대행,6
714,(주)프로스앤찬스,서울특별시 강남구 논현로150길 24 3층 (논현동),02-547-4982,프로스앤찬스,영상.오디오.방송 프로그램,미디어/콘텐츠 제작,2
718,(주)씨에스애드,서울특별시 강남구 테헤란로20길 18 6층(역삼동),02-462-7475,씨에스애드,"광고,홍보,전시",이벤트/전시/행사 대행,6
723,(주)소담컴퍼니,서울특별시 강남구 학동로9길 13 303호 (논현동),02-541-9086,소담컴퍼니,경영 컨설팅,마케팅/브랜드/리서치,4
724,(주)제이원,서울특별시 강남구 논현로133길 12  (논현동) 능원타워 4층,02-2088-0799,제이원,"물류,유통",기타 사업지원/유통/전자상거래,9
729,메가존(주),"서울특별시 강남구 논현로85길 46 갈라빌딩 6,7층 (역삼동)",02-2109-2500,메가존,소프트웨어 공급,IT/디지털/소프트웨어,5
739,(주)워너비커뮤니케이션,"서울특별시 강남구 테헤란로 322 1618,1619호 한신인터밸리24(서관) (역삼동)",02-2183-0560,워너비커뮤니케이션,"제작대행,마케팅,리서치",마케팅/브랜드/리서치,4
742,(주)마제스타지,"서울특별시 강남구 논현로 748 4층 (논현동, 세화빌딩)",02-515-9473,마제스타지,"컨텐츠 제작,편집",미디어/콘텐츠 제작,2
743,(주)애드크로스,서울특별시 강남구 광평로 280 1839호 로즈데일오피스텔 (수서동),070-7714-3231,애드크로스,"온라인 마케팅,판매",마케팅/브랜드/리서치,4
749,(주)일레븐,서울특별시 강남구 논현로 622 금은빌딩 5층 (논현동),02-3444-5111,일레븐,판촉물제작,디자인 및 시각/산업 디자인,3
750,(주)블루라임커뮤니케이션즈,서울특별시 강남구 테헤란로52길 15 금천빌딩 1206호 (역삼동),02-568-1175,블루라임커뮤니케이션즈,"소프트웨어 자문,개발 및 공급업",IT/디지털/소프트웨어,5
752,호렙솔루션(주),서울특별시 강남구 논현로 507 성지하이츠3차빌딩 814호 (역삼동),02-538-5071,호렙솔루션,서비스업 기반 소프트웨어 개발,IT/디지털/소프트웨어,5
753,옴니콤미디어그룹코리아(주),서울특별시 강남구 테헤란로 223 (역삼동) 큰길타워 9층,02-2092-6702,옴니콤미디어그룹코리아,전시,이벤트/전시/행사 대행,6
754,(주)유나스엔터테인먼트,"서울특별시 강남구 도산대로 50길 25 2층, 3층(논현동)",02-533-9501,나스엔터테인먼트,디지털 마케팅,마케팅/브랜드/리서치,4
758,그랑몬스터(주),"서울특별시 강남구 도산대로 220  12-14층 (논현동,엠포리아빌딩)",02-3446-7780,그랑몬스터,디지털 마케팅,마케팅/브랜드/리서치,4
760,(주)레디엔터테인먼트,서울특별시 강남구 언주로130길 13  (논현동)다은빌딩 2층,02-6900-0900,레디엔터테인먼트,매니저업,마케팅/브랜드/리서치,4
761,(주)미클리컴미디어,서울특별시 강남구 삼성로96길 14  (삼성동),02-6267-8953,미클리컴미디어,서비스 기반 광고대행,광고 대행/서비스 제공업체,1
763,인터브랜드(주),서울특별시 강남구 언주로 620 현대인텔렉스빌딩 (논현동),02-515-9150,인터브랜드,브랜드 컨설팅,마케팅/브랜드/리서치,4
766,주식회사 더퀘스천,"서울특별시 강남구 테헤란로86길 12 6층(대치동, 티케이오케이빌딩)",02-2277-0102,식회사 더퀘스천,"마케팅,행사,전시",마케팅/브랜드/리서치,4
768,(주)지구미디어,서울특별시 강남구 학동로1길 19  (논현동),02-516-8815,지구미디어,"전시,행사대행",이벤트/전시/행사 대행,6
770,(주)조이콤미디어,서울특별시 강남구 도산대로53길 16 5층 (신사동),,조이콤미디어,"전자상거래,광고",이벤트/전시/행사 대행,6
771,로드미디어(주),서울특별시 강남구 테헤란로82길 15 디아이타워 292호 (대치동),,로드미디어,전시,이벤트/전시/행사 대행,6
772,(주)아이디어달리,서울특별시 강남구 테헤란로78길 14-12 (대치동) 동영빌딩 11층,02-3448-8899,아이디어달리,"광고,홍보,전시",이벤트/전시/행사 대행,6
780,(주)애드쿠아인터렉티브,"서울특별시 강남구 언주로 637 2,3,4층 (논현동, 싸이칸타워)",02-408-0214,애드쿠아인터렉티브,"소셜미디어,디지털 비디오 컨텐츠.TV광고 및 오프라인 광고",광고 대행/서비스 제공업체,1
783,(주)크레마,서울특별시 강남구 강남대로128길 73  (논현동),02-511-6239,크레마,"소프트웨서 개발,공급",IT/디지털/소프트웨어,5
785,(주)포트폴리오,서울특별시 강남구 언주로 727 6층 (논현동),02-3444-9100,포트폴리오,,,
787,(주)펜타슬론,서울특별시 강남구 봉은사로37길 37 리고빌딩 2층 (논현동),02-6925-0161,펜타슬론,"과학,기술 서비스업",IT/디지털/소프트웨어,5
792,(주)엔투라지글로벌,서울특별시 강남구 논현로38길 32 501호 (도곡동),02-579-2258,엔투라지글로벌,화장품,산업군별 마케팅 영역,7-6
793,(주)애드웍스커뮤니케이션,서울특별시 강남구 학동로 320 신우빌딩 (논현동)3층,02-3448-6636,애드웍스커뮤니케이션,"광고물 제작, 분양대행",미디어/콘텐츠 제작,2
797,주식회사 나이스슈팅,"서울특별시 강남구 논현로127길 13 5층 (논현동, 세영빌딩)",02-6052-4770,식회사 나이스슈팅,"광고 문안,도안작성",마케팅/브랜드/리서치,4
799,(주)코인사이드,서울특별시 강남구 강남대로162길 27-16 신아빌딩 2층 (신사동),02-543-4242,코인사이드,컨텐츠 개발,미디어/콘텐츠 제작,2
801,(주)매드커뮤니케이션즈,서울특별시 강남구 언주로85길 29 한국빌딩 4층 (역삼동),070-5143-8284,매드커뮤니케이션즈,식료품,산업군별 마케팅 영역,7-7
804,(주)올윈커뮤니케이션즈,서울특별시 강남구 도산대로90길 13 해오름빌딩 2층 (청담동),02-546-0810,올윈커뮤니케이션즈,정보통신 기반 포털 및 인터넷 정보 매개 서비스,기타 사업지원/유통/전자상거래,9
808,(주)에스키모티브이,서울특별시 강남구 테헤란로 441  (삼성동),02-557-6565,에스키모티브이,광고대행업,광고 대행/서비스 제공업체,1
815,(주)오즈미디어그룹,서울특별시 강남구 도산대로38길 40  (논현동),02-3443-1940,오즈미디어그룹,쇼핑몰.오픈마켓.소셜커머스,광고 대행/서비스 제공업체,1
817,(주)디렉터스컴퍼니,서울특별시 강남구 봉은사로44길 2  (역삼동)아모제역삼빌딩 6층(엘리베이터우측),02-3443-8844,디렉터스컴퍼니,"디자인,광고대행업",디자인 및 시각/산업 디자인,3
818,(주)일진커뮤니케이션,서울특별시 강남구 논현로149길 67-10 7층 (논현동),02-2277-4424,일진커뮤니케이션,"인쇄,출판",미디어/콘텐츠 제작,2
819,(주)크레이블코리아,"서울특별시 강남구 봉은사로 474  (삼성동, 쌍용 플래티넘)",02-569-6370,크레이블코리아,서비스업 기반 광고 대행,광고 대행/서비스 제공업체,1
820,(주)마코컴퍼니,서울특별시 강남구 도산대로 509  (청담동),02-6925-3734,마코컴퍼니,컨테츠 마케팅,마케팅/브랜드/리서치,4
821,비아이지아이 주식회사,"서울특별시 강남구 학동로3길 8 4층 (논현동, 환윤빌딩)",02-586-8191,비아이지아이식회사,주기기 기자재 업체,기타 사업지원/유통/전자상거래,9
825,(주)유담커뮤니케이션,서울시 강남구 봉은사로 129 거평타운 505호(논현동),02-355-3580,담커뮤니케이션,공공관계서비스업,광고 대행/서비스 제공업체,1
829,(주)더피알,서울특별시 강남구 언주로135길 32-14  (논현동),02-6223-5556,더피알,"정부 , 기업등의 소식 및 마케팅 이슈 pr매체",마케팅/브랜드/리서치,4
835,(주)참견,서울특별시 강남구 논현로150길 36-5 동성빌딩 601호 (논현동),02-3444-1515,참견,반려동물 서비스업,산업군별 마케팅 영역,7-4
838,(주)애드에이치큐,서울특별시 강남구 언주로 333 9층 (역삼동),02-3442-2910,애드에이치큐,간판 및 광고물 제조업,디자인 및 시각/산업 디자인,3
840,(주)한아람마케팅,서울특별시 강남구 광평로 295 동관 413호 (수서동),02-6281-8000,한아람마케팅,서비스 기반 광고 제작,미디어/콘텐츠 제작,2
845,(주)코드컴,서울특별시 강남구 테헤란로51길 18  (역삼동)광진빌딩 401호,02-6300-8399,코드컴,미용,산업군별 마케팅 영역,7-6
846,(주)디블렌트,서울특별시 강남구 선릉로 541  (역삼동)디블렌트빌딩 6층,02-512-4005,디블렌트,종합 광고 대행,광고 대행/서비스 제공업체,1
847,(주)루다커뮤니케이션,서울특별시 강남구 봉은사로 129 거평타운 141호 (논현동),02-518-1945,루다커뮤니케이션,서비스기반 광고대행,광고 대행/서비스 제공업체,1
849,(주)톡톡커뮤니케이션,서울특별시 강남구 논현로149길 27  (논현동),02-6956-6888,톡톡커뮤니케이션,"광고,홍보",광고 대행/서비스 제공업체,1
850,그레이고(주),"서울특별시 강남구 테헤란로103길 17 (삼성동,정석빌딩)",070-4118-0116,그레이고,전자상거래 소매,산업군별 마케팅 영역,9
856,(주)다담커뮤니케이션,서울특별시 강남구 논현로38길 30 시조빌딩4층 (도곡동),02-571-6977,다담커뮤니케이션,"출판,인쇄",미디어/콘텐츠 제작,2
863,동국헬스케어홀딩스(주),서울특별시 강남구 테헤란로108길 7 (대치동) 동국빌딩 3층,02-558-6741,동국헬스케어홀딩스,"지주,광고대행",광고 대행/서비스 제공업체,1
867,(주)디사이드,서울특별시 강남구 테헤란로 406 에이동 1112호 (대치동),,디사이드,"광고대행,디자인",디자인 및 시각/산업 디자인,3
869,(주)피디언,서울특별시 강남구 봉은사로34길 7 501호 (역삼동),02-2252-0112,피디언,화장품,산업군별 마케팅 영역,7-6
872,(주)일컴,"서울특별시 강남구 언주로97길 8 , 4층(역삼동,창해빌딩)",02-3446-9250,일컴,광고대행,광고 대행/서비스 제공업체,1
877,(주)컨퍼니,서울특별시 강남구 테헤란로84길 16 7층 (대치동),02-554-1008,컨퍼니,식탁 및 주방용품 소매,디자인 및 시각/산업 디자인,3
883,(주)퍼틸레인,서울특별시 강남구 봉은사로86길 6  (삼성동) 빌딩레베쌍트 8층,02-546-7377,퍼틸레인,"홈페이지구축,운영 소프트웨어 개발",IT/디지털/소프트웨어,5
888,(주)하루애드,서울특별시 강남구 강남대로136길 11  (논현동)521호,02-517-9000,하루애드,"디자인,광고대행업",디자인 및 시각/산업 디자인,3
900,(주)넥스트미디어그룹,"서울특별시 강남구 언주로 637  13층 (논현동, 싸이칸타워)",070-7732-2571,넥스트미디어그룹,온/오프라인 미디어 통합 대행서비스,광고 대행/서비스 제공업체,1
901,(주)아이키니미디어,서울특별시 강남구 테헤란로6길 30 태암빌딩 413호 (역삼동),02-323-2526,아이키니미디어,"잡지,정기간행물 발행",광고 대행/서비스 제공업체,1
902,제이티지엔터테인먼트(주),서울특별시 강남구 논현로102길 11 지2층 (역삼동),02-567-0522,제이티지엔터테인먼트,연예 기획,연예/스포츠/엔터테인먼트,8
904,(주)어썸메이크,서울특별시 강남구 강남대로146길 7 금원빌딩 205호 (논현동),02-544-1885,어썸메이크,화장품,산업군별 마케팅 영역,7-6
912,(주)클랙슨인터랙티브,서울특별시 강남구 논현로113길 13 우창빌딩4층 (논현동),02-6245-8908,클랙슨인터랙티브,"디지털 광고 ,영상 기획",미디어/콘텐츠 제작,2
918,(주)국가대표광고,서울특별시 강남구 논현로80길 9 (역삼동) 거평빌딩 2층,02-6061-1124,국가대표광고,지하철 광고,광고 대행/서비스 제공업체,1
923,(주)레드핫컨텐츠,서울특별시 강남구 언주로130길 18 2층 (논현동 동인빌딩),02-518-4642,레드핫컨텐츠,인터넷 프로그램 개발,미디어/콘텐츠 제작,2
924,(주)프럼,서울특별시 강남구 도산대로63길 18 BK빌딩3층 (청담동),02-544-3786,프럼,연구소/컨설팅/조사,광고 대행/서비스 제공업체,1
928,(주)디티에스아이,서울특별시 강남구 도산대로 318 SB타워 6층 (논현동),02-6713-4540,디티에스아이,디지털 마케팅,마케팅/브랜드/리서치,4
930,(주)큐브릭코퍼레이션,서울특별시 강남구 남부순환로 2621 1동 11층 15호 (도곡동),070-4640-7045,큐브릭코퍼레이션,"기혹,운영,홍보 총괄,디자인",디자인 및 시각/산업 디자인,3
932,(주)에이치이엔티,서울특별시 강남구 선릉로119길 26  (논현동)2층,02-545-1177,에이치이엔티,매니저업,마케팅/브랜드/리서치,4
936,(주)네이키드,서울특별시 강남구 언주로153길 14  (신사동) 3층,02-515-6482,네이키드,정보통신업 기반 음악및 오디오물 출판,미디어/콘텐츠 제작,2
939,인스파이어드바이 유한회사,서울특별시 강남구 봉은사로2길 31 4층 (역삼동)더블유빌딩,02-2186-9700,인스파이어드바이한회사,광고 대행,광고 대행/서비스 제공업체,1
942,(주)맥브레인즈,서울특별시 강남구 언주로 551 7층 프라자빌딩 (역삼동),070-5143-8280,맥브레인즈,화장품,산업군별 마케팅 영역,7-6
948,(주)도그지어,서울특별시 강남구 논현로131길 30 성도빌딩 3층 (논현동),02-543-6035,도그지어,시정조사및여론조사,광고 대행/서비스 제공업체,1
950,박살컴퍼니(주),"서울특별시 강남구 봉은사로67길 40  (삼성동, B and J House)",070-4118-7787,박살컴퍼니,"영화,방송제작관련 서비스업",미디어/콘텐츠 제작,2
953,(주)피에스와이,서울특별시 강남구 논현로95길 12 역삼빌딩 3층 (역삼동),02-501-1835,피에스와이,의류/패션/잡화/뷰티,산업군별 마케팅 영역,7-6
967,티브이씨(주),서울특별시 강남구 삼성로95길 33 5층 (삼성동),02-546-6749,티브이씨,광고 매체 판매업,광고 대행/서비스 제공업체,1
968,(주)그룹아이디디,서울특별시 강남구 도산대로 145 11층~13층 (신사동),02-552-1196,그룹아이디디,디지털 인쇄물 제작 서비스,디자인 및 시각/산업 디자인,3
974,(주)아이스크리에이티브,서울특별시 강남구 압구정로2길 58 4층 하널번빌딩 (신사동),02-711-8807,아이스크리에이티브,크리에이터 매니지면트,마케팅/브랜드/리서치,4
976,(주)키이츠서울,서울특별시 강남구 도산대로54길 48-19  (논현동),02-3444-4946,키이츠서울,녹음시설 운영,미디어/콘텐츠 제작,2
978,(주)애드파워씨엠씨,"서울특별시 강남구 논현로164길 26 4층(신사동, 성호빌딩)",02-2191-6800,애드파워씨엠씨,광고대행업,광고 대행/서비스 제공업체,1
980,(주)케이알마케팅,서울특별시 강남구 학동로 176  (논현동)3층,02-792-1147,케이알마케팅,영화 및 비디오물 제작,미디어/콘텐츠 제작,2
982,엠케이커뮤니케이션(주),서울특별시 강남구 학동로 225 2층 (논현동),,엠케이커뮤니케이션,사업지원서비스업,광고 대행/서비스 제공업체,1
983,(주)크리에이티브마켓,서울특별시 강남구 논현로 733 천조빌딩 3층,070-4420-3088,크리에이티브마켓,"광고 설계,작성",광고 대행/서비스 제공업체,1
995,(주)디렉터마켓,서울특별시 강남구 언주로103길 17-3 1~2층 (역삼동),02-555-2633,디렉터마켓,영상 제작 프러덕션,미디어/콘텐츠 제작,2
996,(주)코코인코퍼레이션,서울특별시 강남구 선릉로100길 8 3층 (삼성동),02-540-1402,코코인코퍼레이션,서비스기반 광고대행,광고 대행/서비스 제공업체,1
1008,(주)트루커뮤니케이션즈,서울특별시 강남구 논현로149길 69  (논현동)신흥빌딩 3층,02-3445-3003,트루커뮤니케이션즈,"광고기획,이벤트대행,영상판촉",광고 대행/서비스 제공업체,1
1011,(주)아이디어팩토리,서울특별시 강남구 학동로50길 7 상보빌딩 501호 (논현동),02-511-7740,아이디어팩토리,서비스기반 광고대행,광고 대행/서비스 제공업체,1
1018,(주)하이터치컴퍼니,"서울특별시 강남구 도산대로89길 19-4  (청담동)4,5층",02-545-8445,하이터치컴퍼니,광고매체 판매업,광고 대행/서비스 제공업체,1
1020,(주)홍보대행사이룸(주),서울특별시 강남구 학동로 312  (논현동)3층,02-2033-9948,홍보대행사이룸,온오프라인 마케팅,마케팅/브랜드/리서치,4
1022,(주)위나이스컴퍼니,서울특별시 강남구 도산대로8길 12 3층 327호 (논현동),02-6097-0788,위나이스컴퍼니,옥외광고,광고 대행/서비스 제공업체,1
1025,(주)아이브이유아이(주),서울특별시 강남구 강남대로58길 59 2층 (도곡동),02-588-0493,아이브이아이,"부동산 중계 , 대리업",산업군별 마케팅 영역,7-2
1032,이월삼십일일(주),서울특별시 강남구 선릉로111길 37  (논현동)3층,02-3447-0231,이월삼십일일,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
1035,(주)블랙팀,서울특별시 강남구 테헤란로 503  (삼성동) 11층 1104호,02-3453-8280,블랙팀,"광고물 문안, 도안 , 설계 등 작성업",디자인 및 시각/산업 디자인,3
1040,(주)아이소바코리아,"서울특별시 강남구 테헤란로79길 6 , 11층 (삼성동, 제이에스타워)",02-6005-0824,아이소바코리아,정보통신업,기타 사업지원/유통/전자상거래,9
1041,(주)스토리필름,서울특별시 강남구 선릉로125길 21-2 스토리필름 (논현동),02-540-0204,스토리필름,정보통신업,기타 사업지원/유통/전자상거래,9
1043,(주)브랜드테이크아웃,서울특별시 강남구 강남대로152길 14  (신사동)3층 성환빌딩,02-544-0022,브랜드테이크아웃,도매 및 소매업,산업군별 마케팅 영역,7-2
1046,(주)애드앤파크커뮤니케이션,서울특별시 강남구 논현로 708 3층 (논현동),02-512-0719,애드앤파크커뮤니케이션,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1049,(주)뷰스컴퍼니,서울특별시 강남구 강남대로 340 12층 (역삼동),070-4042-4340,뷰스컴퍼니,의류/패션/잡화/뷰티,산업군별 마케팅 영역,7-6
1054,(주)유레카컨텐츠그룹,"서울특별시 강남구 압구정로2길 60 , 6층 (신사동,MG타워)",02-6672-6542,레카컨텐츠그룹,연예/엔터테인먼트,연예/스포츠/엔터테인먼트,8
1056,(주)지엔에이,서울특별시 강남구 논현로85길 47 302호 (역삼동),032-715-4141,지엔에이,"협회 및 단체, 수리 및 기타 개인서비스",기타 사업지원/유통/전자상거래,9
1060,머큐리프로젝트 주식회사,"서울특별시 강남구 봉은사로38길 13 , 2,3,4,5층 (역삼동)",02-565-0829,머큐리프로젝트식회사,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1061,(주)인연엔터테인먼트,"서울특별시 강남구 학동로3길 41 지하2층 (논현동, 연우빌딩)",02-511-2740,인연엔터테인먼트,매니저업,마케팅/브랜드/리서치,4
1064,주식회사 제니크,"서울특별시 강남구 언주로113길 7 , 3층 (논현동)",02-6083-5801,식회사 제니크,정보통신업,광고 대행/서비스 제공업체,1
1080,주식회사 퀸즈코퍼레이션,"서울특별시 강남구 테헤란로37길 7 , 13층 (역삼동, 조이타워)",02-1577-2943,식회사 퀸즈코퍼레이션,종합몰/ 건강/식품,산업군별 마케팅 영역,7-7
1081,앨리슨모스 주식회사,서울특별시 강남구 테헤란로87길 36 301호 도심공항타워 (삼성동),02-6295-7357,앨리슨모스식회사,홍보물또는연간보고서,디자인 및 시각/산업 디자인,3
1083,(주)차이커뮤니케이션,서울특별시 강남구 학동로43길 6 221B 에비뉴 (논현동),02-2017-8800,차이커뮤니케이션,방송·광고·영상·오디오,미디어/콘텐츠 제작,2
1084,주식회사 이씨이십일,"서울특별시 강남구 영동대로 511  (삼성동, 트레이드타워 501호)",02-6000-4443,식회사 이씨이십일,소프트웨어자문개발,IT/디지털/소프트웨어,5
1098,주식회사 제휴합시다,"서울특별시 강남구 테헤란로84길 17 , 302호 (대치동)",070-8241-1225,식회사 제휴합시다,도매 및 소매업,마케팅/브랜드/리서치,4
1099,(주)팀육십일,"서울특별시 강남구 도산대로 171 , 13층 (신사동)",02-3445-0061,팀육십일,매니저업,마케팅/브랜드/리서치,4
1104,주식회사 홍천인터내셔날,"서울특별시 강남구 도산대로 307 , 2층 (신사동, 백영빌딩)",02-513-4083,식회사 홍천인터내셔날,상품 종합 도매업,광고 대행/서비스 제공업체,1
1114,주식회사 티피에이미디어,서울특별시 강남구 영동대로 735 골프존 서울타워 6층 (청담동),02-6941-0510,식회사 티피에이미디어,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",미디어/콘텐츠 제작,2
1115,(주)와우매니지먼트그룹,"서울특별시 강남구 도산대로 458  8층 (청담동, 청담 한국빌딩)",02-570-1900,와우매니지먼트그룹,스포츠 서비스업,연예/스포츠/엔터테인먼트,8
1116,로드원오원 주식회사,서울특별시 강남구 도산대로 317 2층 (신사동),02-515-2200,로드원오원식회사,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
1117,주식회사 더에스엠씨 그룹,서울특별시 강남구 봉은사로49길 22 더에스엠씨빌딩 (논현동),,식회사 더에스엠씨 그룹,"온라인광고 대행,시스템통합 구축,마케팅 컨설팅",마케팅/브랜드/리서치,4
1118,(주)머스트에이,"서울특별시 강남구 역삼로23길 8 에이동 비-103호 (역삼동, 현대하이츠)",02-568-0920,머스트에이,"전문, 과학 및 기술 서비스업",IT/디지털/소프트웨어,5
1123,(주)투모로우컴퍼니,서울특별시 강남구 언주로126길 17 3층 (논현동),02-517-9157,투모로우컴퍼니,정보통신업,기타 사업지원/유통/전자상거래,9
1130,주식회사 에그크리에이티브,서울특별시 강남구 봉은사로74길 20 4층 (삼성동),02-538-2230,식회사 에그크리에이티브,홍보및마케팅서비스,이벤트/전시/행사 대행,6
1131,(주)애드가엑스퍼트,서울특별시 강남구 도산대로30길 34 꾸메하임 3층 (논현동),02-541-1637,애드가엑스퍼트,종이인쇄물제작서비스,미디어/콘텐츠 제작,2
1135,(주)애드크루즈,서울특별시 강남구 강남대로158길 19 삼우빌딩 5층 애드크루즈 (신사동),02-515-8948,애드크루즈,"광고기획, 광고매체 판매업, 컨텐츠 제작 및 수출입업",마케팅/브랜드/리서치,4
1136,(주)초코렛커뮤니케이션,서울특별시 강남구 강남대로154길 24 501호 (신사동),02-6959-3835,초코렛커뮤니케이션,"영상제작 및 비디오물 제작, 디자인, 출판업, 교육기획",미디어/콘텐츠 제작,2
1138,주식회사 빅벨이엔엠,"서울특별시 강남구 선릉로 704 , 10층 376호 (청담동,청담벤처프라자)",,식회사 빅벨이엔엠,방송 프로그램 제작업,미디어/콘텐츠 제작,2
