순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호,위도,경도
647,(주)위드플라이커뮤니케이션즈,서울특별시 강남구 선릉로 743 ,02-517-2311,위드플라이커뮤니케이션즈,방송·광고·영상·오디오,"미디어,콘텐츠 제작",2,37.4984393,127.051884
652,주식회사 올바로,서울특별시 강남구 선릉로76길 22 ,02-858-5858,식회사 올바로,도매사업,산업군별 마케팅 영역,9,37.5016835,127.0522837
655,(주)유커뮤니케이션즈,서울특별시 강남구 테헤란로33길 5 ,02-515-6333,커뮤니케이션즈,"전시, 컨벤션 및 행사 대행업",sns,1,37.5021764,127.0394118
659,(주)미디어마인드,서울특별시 강남구 도곡로 419 ,070-4837-2425,미디어마인드,"광고대행,전자상거래,경영컨설팅",sns,1,37.4976681,127.0563508
662,(주)미루애드,서울특별시 강남구 자곡로 191 ,02-445-3953,미루애드,옥외광고 매체 홍보,sns,1,37.4749933,127.1038315
667,(주)피터팬랩,서울특별시 강남구 언주로85길 29 ,070-4820-0081,피터팬랩,컨텐츠 개발 업체,마케팅 브랜딩 조사,4,37.5010225,127.0417976
669,(주)이지스커뮤니케이션즈,서울특별시 강남구 논현로81길 8,02-566-1372,이지스커뮤니케이션즈,공공관계 서비스업,sns,1,37.4981209,127.0373795
670,(주)에이블리커뮤니케이션즈,서울특별시 강남구 테헤란로33길 35 ,070-4888-1094,에이블리커뮤니케이션즈,패션,화장품,2025-화장품,37.5032056,127.0390465
672,(주)팩토리나인컴퍼니,서울특별시 강남구 테헤란로64길 13,02-6487-7899,팩토리나인컴퍼니,광고 대행업,sns,1,37.5042614,127.0514882
681,(주)스토리컴,서울특별시 강남구 논현로146길 16 ,070-8262-1152,스토리컴,"광고대행,홍보대행,종합홍보대행,태블릿 충전함,태블릿 충전함,상품 종합 도매업,전자상거래 소매업,소프트웨어 개발 및 공급업,광고물,광고영상제작,홍보영상제",sns,1,37.5182112,127.0304289
692,(주)전파상프로덕션,서울특별시 강남구 압구정로30길 74,02-540-0252,전파상프로덕션,"광고,홍보,전시",sns,1,37.5248281,127.0291103
694,(주)프로븐,서울특별시 강남구 역삼로 558,02-3496-6100,프로븐,"광고,홍보,전시",sns,1,37.5029063,127.0580661
698,(주)시너지플랜트,서울특별시 강남구 영동대로 602 ,02-522-7731,시너지플랜트,"광고 대행,PR,모바일",sns,1,37.5148923,127.060442
701,한피알(주),서울특별시 강남구 압구정로72길 21 ,070-3223-1037,한피알,"융합PR, PR마케팅, PR컨설팅",마케팅 브랜딩 조사,4,37.525734,127.0450536
702,(주)인투크리에이티브그룹,서울특별시 강남구 논현로 715,02-3446-3062,인투크리에이티브그룹,패션,화장품,2025-화장품,37.4748031,127.0476702
712,(주)원츠메이커,서울특별시 강남구 언주로153길 8 ,02-786-0701,원츠메이커,"광고,홍보,전시",전시,6,37.5226929,127.0322753
714,(주)프로스앤찬스,서울특별시 강남구 논현로150길 24 ,02-547-4982,프로스앤찬스,영상.오디오.방송 프로그램,"미디어,콘텐츠 제작",2,37.5194434,127.030532
718,(주)씨에스애드,서울특별시 강남구 테헤란로20길 18 ,02-462-7475,씨에스애드,"광고,홍보,전시",전시,6,37.4985224,127.0344619
723,(주)소담컴퍼니,서울특별시 강남구 학동로9길 13 ,02-541-9086,소담컴퍼니,경영 컨설팅,마케팅 브랜딩 조사,4,37.5133808,127.0240118
724,(주)제이원,서울특별시 강남구 논현로133길 12,02-2088-0799,제이원,"물류,유통",교통/운송,9,37.5150424,127.0294486
729,메가존(주),서울특별시 강남구 논현로85길 46,02-2109-2500,메가존,소프트웨어 공급,IT,5,37.498274,127.034307
739,(주)워너비커뮤니케이션,서울특별시 강남구 테헤란로 322,02-2183-0560,워너비커뮤니케이션,"제작대행,마케팅,리서치",마케팅 브랜딩 조사,4,37.50298,127.0465619
742,(주)마제스타지,서울특별시 강남구 논현로 748 ,02-515-9473,마제스타지,"컨텐츠 제작,편집","미디어,콘텐츠 제작",2,37.5186793,127.0289751
743,(주)애드크로스,서울특별시 강남구 광평로 280 ,070-7714-3231,애드크로스,"온라인 마케팅,판매",마케팅 브랜딩 조사,4,37.4873332,127.1031697
749,(주)일레븐,서울특별시 강남구 논현로 622 ,02-3444-5111,일레븐,판촉물제작,디자인,3,37.4748031,127.0476702
750,(주)블루라임커뮤니케이션즈,서울특별시 강남구 테헤란로52길 15 ,02-568-1175,블루라임커뮤니케이션즈,"소프트웨어 자문,개발 및 공급업",IT,5,37.5031466,127.047979
752,호렙솔루션(주),서울특별시 강남구 논현로 507 ,02-538-5071,호렙솔루션,서비스업 기반 소프트웨어 개발,IT,5,37.5017013,127.0360065
753,옴니콤미디어그룹코리아(주),서울특별시 강남구 테헤란로 223,02-2092-6702,옴니콤미디어그룹코리아,전시,전시,6,37.5023726,127.0407465
754,(주)유나스엔터테인먼트,서울특별시 강남구 도산대로 50길 25 ,02-533-9501,나스엔터테인먼트,디지털 마케팅,마케팅 브랜딩 조사,4,,
758,그랑몬스터(주),서울특별시 강남구 도산대로 220 ,02-3446-7780,그랑몬스터,디지털 마케팅,마케팅 브랜딩 조사,4,37.5202583,127.0311526
760,(주)레디엔터테인먼트,서울특별시 강남구 언주로130길 13 ,02-6900-0900,레디엔터테인먼트,매니저업,마케팅 브랜딩 조사,4,37.5150718,127.0369174
761,(주)미클리컴미디어,서울특별시 강남구 삼성로96길 14  (삼성동),02-6267-8953,미클리컴미디어,서비스 기반 광고대행,sns,1,37.5087722,127.0571143
763,인터브랜드(주),서울특별시 강남구 언주로 620 현대인텔렉스빌딩 (논현동),02-515-9150,인터브랜드,브랜드 컨설팅,마케팅 브랜딩 조사,4,37.5116308,127.0363401
766,주식회사 더퀘스천,서울특별시 강남구 테헤란로86길 12 ,02-2277-0102,식회사 더퀘스천,"마케팅,행사,전시",마케팅 브랜딩 조사,4,37.5065672,127.0590637
768,(주)지구미디어,서울특별시 강남구 학동로1길 19  (논현동),02-516-8815,지구미디어,"전시,행사대행",전시,6,37.5126903,127.0216225
770,(주)조이콤미디어,서울특별시 강남구 도산대로53길 16 ,,조이콤미디어,"전자상거래,광고",전시,6,37.5241984,127.0386214
771,로드미디어(주),서울특별시 강남구 테헤란로82길 15 ,,로드미디어,전시,전시,6,37.5060383,127.0582652
772,(주)아이디어달리,서울특별시 강남구 테헤란로78길 14-12,02-3448-8899,아이디어달리,"광고,홍보,전시",전시,6,37.5052795,127.0556497
780,(주)애드쿠아인터렉티브,서울특별시 강남구 언주로 637,02-408-0214,애드쿠아인터렉티브,"소셜미디어,디지털 비디오 컨텐츠.TV광고 및 오프라인 광고",sns,1,37.5291899,127.0338897
783,(주)크레마,서울특별시 강남구 강남대로128길 73,02-511-6239,크레마,"소프트웨서 개발,공급",IT,5,37.5119121,127.0262175
785,(주)포트폴리오,서울특별시 강남구 언주로 727 ,02-3444-9100,포트폴리오,,,,37.5349542,127.0347599
787,(주)펜타슬론,서울특별시 강남구 봉은사로37길 37 ,02-6925-0161,펜타슬론,"과학,기술 서비스업",IT,5,37.5087133,127.0363336
792,(주)엔투라지글로벌,서울특별시 강남구 논현로38길 32 ,02-579-2258,엔투라지글로벌,화장품,화장품,2025-화장품,37.4853574,127.0442917
793,(주)애드웍스커뮤니케이션,서울특별시 강남구 학동로 320 ,02-3448-6636,애드웍스커뮤니케이션,"광고물 제작, 분양대행","미디어,콘텐츠 제작",2,37.5181087,127.0457549
797,주식회사 나이스슈팅,서울특별시 강남구 논현로127길 13,02-6052-4770,식회사 나이스슈팅,"광고 문안,도안작성",마케팅 브랜딩 조사,4,37.512952,127.0299628
799,(주)코인사이드,서울특별시 강남구 강남대로162길 27-16,02-543-4242,코인사이드,컨텐츠 개발,"미디어,콘텐츠 제작",2,37.5211642,127.0214713
801,(주)매드커뮤니케이션즈,서울특별시 강남구 언주로85길 29 ,070-5143-8284,매드커뮤니케이션즈,식료품,식제품,2025-식제품,37.5010225,127.0417976
804,(주)올윈커뮤니케이션즈,서울특별시 강남구 도산대로90길 13 ,02-546-0810,올윈커뮤니케이션즈,정보통신 기반 포털 및 인터넷 정보 매개 서비스,교통/운송,9,37.5234916,127.0491608
808,(주)에스키모티브이,서울특별시 강남구 테헤란로 441  (삼성동),02-557-6565,에스키모티브이,광고대행업,sns,1,37.5066071,127.0546799
815,(주)오즈미디어그룹,서울특별시 강남구 도산대로38길 40  (논현동),02-3443-1940,오즈미디어그룹,쇼핑몰.오픈마켓.소셜커머스,sns,1,37.5182384,127.0328785
817,(주)디렉터스컴퍼니,서울특별시 강남구 봉은사로44길 2  ,02-3443-8844,디렉터스컴퍼니,"디자인,광고대행업",디자인,3,37.5087558,127.0400254
818,(주)일진커뮤니케이션,서울특별시 강남구 논현로149길 67-10 ,02-2277-4424,일진커뮤니케이션,"인쇄,출판","미디어,콘텐츠 제작",2,37.5175856,127.0252887
819,(주)크레이블코리아,"서울특별시 강남구 봉은사로 474  (삼성동, 쌍용 플래티넘)",02-569-6370,크레이블코리아,서비스업 기반 광고 대행,sns,1,37.5123241,127.0518594
820,(주)마코컴퍼니,서울특별시 강남구 도산대로 509  (청담동),02-6925-3734,마코컴퍼니,컨테츠 마케팅,마케팅 브랜딩 조사,4,37.5240254,127.0488589
821,비아이지아이 주식회사,서울특별시 강남구 학동로3길 8 ,02-586-8191,비아이지아이식회사,주기기 기자재 업체,교통/운송,9,37.5127878,127.0221947
825,(주)유담커뮤니케이션,서울시 강남구 봉은사로 129 ,02-355-3580,담커뮤니케이션,공공관계서비스업,sns,1,37.5058961,127.0282525
829,(주)더피알,서울특별시 강남구 언주로135길 32-14  (논현동),02-6223-5556,더피알,"정부 , 기업등의 소식 및 마케팅 이슈 pr매체",마케팅 브랜딩 조사,4,37.5175948,127.0327179
835,(주)참견,서울특별시 강남구 논현로150길 36-5 ,02-3444-1515,참견,반려동물 서비스업,의료,07-04,37.519501,127.0302622
838,(주)애드에이치큐,서울특별시 강남구 언주로 333 ,02-3442-2910,애드에이치큐,간판 및 광고물 제조업,디자인,3,37.5349542,127.0347599
840,(주)한아람마케팅,서울특별시 강남구 광평로 295 ,02-6281-8000,한아람마케팅,서비스 기반 광고 제작,"미디어,콘텐츠 제작",2,37.4885924,127.1044331
845,(주)코드컴,서울특별시 강남구 테헤란로51길 18 ,02-6300-8399,코드컴,미용,화장품,2025-화장품,37.5052117,127.0463886
846,(주)디블렌트,서울특별시 강남구 선릉로 541  ,02-512-4005,디블렌트,종합 광고 대행,sns,1,37.5073915,127.0461276
847,(주)루다커뮤니케이션,서울특별시 강남구 봉은사로 129 ,02-518-1945,루다커뮤니케이션,서비스기반 광고대행,sns,1,37.5058961,127.0282525
849,(주)톡톡커뮤니케이션,서울특별시 강남구 논현로149길 27  (논현동),02-6956-6888,톡톡커뮤니케이션,"광고,홍보",sns,1,37.5178744,127.0264041
850,그레이고(주),서울특별시 강남구 테헤란로103길 17 ,070-4118-0116,그레이고,전자상거래 소매,산업군별 마케팅 영역,9,37.51041,127.0637313
856,(주)다담커뮤니케이션,서울특별시 강남구 논현로38길 30 ,02-571-6977,다담커뮤니케이션,"출판,인쇄","미디어,콘텐츠 제작",2,37.4853886,127.0441132
863,동국헬스케어홀딩스(주),서울특별시 강남구 테헤란로108길 7,02-558-6741,동국헬스케어홀딩스,"지주,광고대행",sns,1,37.5079917,127.0665056
867,(주)디사이드,서울특별시 강남구 테헤란로 406,,디사이드,"광고대행,디자인",디자인,3,37.5044122,127.0499464
869,(주)피디언,서울특별시 강남구 봉은사로34길 7,02-2252-0112,피디언,화장품,화장품,2025-화장품,37.5061142,127.0377691
872,(주)일컴,서울특별시 강남구 언주로97길 8 ,02-3446-9250,일컴,광고대행,sns,1,37.5050186,127.0394663
877,(주)컨퍼니,서울특별시 강남구 테헤란로84길 16,02-554-1008,컨퍼니,식탁 및 주방용품 소매,디자인,3,37.5061244,127.0585326
883,(주)퍼틸레인,서울특별시 강남구 봉은사로86길 6  ,02-546-7377,퍼틸레인,"홈페이지구축,운영 소프트웨어 개발",IT,5,37.5128535,127.0562773
888,(주)하루애드,서울특별시 강남구 강남대로136길 11,02-517-9000,하루애드,"디자인,광고대행업",디자인,3,37.512996,127.0217257
900,(주)넥스트미디어그룹,서울특별시 강남구 언주로 637  ,070-7732-2571,넥스트미디어그룹,온/오프라인 미디어 통합 대행서비스,sns,1,37.5291899,127.0338897
901,(주)아이키니미디어,서울특별시 강남구 테헤란로6길 30 ,02-323-2526,아이키니미디어,"잡지,정기간행물 발행",sns,1,37.4966116,127.0311336
902,제이티지엔터테인먼트(주),서울특별시 강남구 논현로102길 11,02-567-0522,제이티지엔터테인먼트,연예 기획,엔터테이먼트,8,37.505553,127.0365611
904,(주)어썸메이크,서울특별시 강남구 강남대로146길 7 ,02-544-1885,어썸메이크,화장품,화장품,2025-화장품,37.51561,127.0207332
912,(주)클랙슨인터랙티브,서울특별시 강남구 논현로113길 13 ,02-6245-8908,클랙슨인터랙티브,"디지털 광고 ,영상 기획","미디어,콘텐츠 제작",2,37.5081506,127.0312424
918,(주)국가대표광고,서울특별시 강남구 논현로80길 9,02-6061-1124,국가대표광고,지하철 광고,sns,1,37.4982257,127.039116
923,(주)레드핫컨텐츠,서울특별시 강남구 언주로130길 18 ,02-518-4642,레드핫컨텐츠,인터넷 프로그램 개발,"미디어,콘텐츠 제작",2,37.5150718,127.0369174
924,(주)프럼,서울특별시 강남구 도산대로63길 18,02-544-3786,프럼,연구소/컨설팅/조사,sns,1,37.5249446,127.043687
928,(주)디티에스아이,서울특별시 강남구 도산대로 318,02-6713-4540,디티에스아이,디지털 마케팅,마케팅 브랜딩 조사,4,37.5220226,127.0363787
930,(주)큐브릭코퍼레이션,서울특별시 강남구 남부순환로 2621,070-4640-7045,큐브릭코퍼레이션,"기혹,운영,홍보 총괄,디자인",디자인,3,37.4852713,127.0366779
932,(주)에이치이엔티,서울특별시 강남구 선릉로119길 26,02-545-1177,에이치이엔티,매니저업,마케팅 브랜딩 조사,4,37.5133129,127.0410306
936,(주)네이키드,서울특별시 강남구 언주로153길 14 ,02-515-6482,네이키드,정보통신업 기반 음악및 오디오물 출판,"미디어,콘텐츠 제작",2,37.5227758,127.0320925
939,인스파이어드바이 유한회사,서울특별시 강남구 봉은사로2길 31,02-2186-9700,인스파이어드바이한회사,광고 대행,sns,1,37.5027109,127.0264438
942,(주)맥브레인즈,서울특별시 강남구 언주로 551 ,070-5143-8280,맥브레인즈,화장품,화장품,2025-화장품,37.5349542,127.0347599
948,(주)도그지어,서울특별시 강남구 논현로131길 30 ,02-543-6035,도그지어,시정조사및여론조사,sns,1,37.5143628,127.0293262
950,박살컴퍼니(주),서울특별시 강남구 봉은사로67길 40  ,070-4118-7787,박살컴퍼니,"영화,방송제작관련 서비스업","미디어,콘텐츠 제작",2,37.5126304,127.0484488
953,(주)피에스와이,서울특별시 강남구 논현로95길 12,02-501-1835,피에스와이,의류/패션/잡화/뷰티,화장품,2025-화장품,37.5023892,127.0348937
967,티브이씨(주),서울특별시 강남구 삼성로95길 33 ,02-546-6749,티브이씨,광고 매체 판매업,sns,1,37.5071533,127.0532008
968,(주)그룹아이디디,서울특별시 강남구 도산대로 145 ,02-552-1196,그룹아이디디,디지털 인쇄물 제작 서비스,디자인,3,37.521407,127.0336791
974,(주)아이스크리에이티브,서울특별시 강남구 압구정로2길 58 ,02-711-8807,아이스크리에이티브,크리에이터 매니지면트,마케팅 브랜딩 조사,4,37.5181864,127.0212334
976,(주)키이츠서울,서울특별시 강남구 도산대로54길 48-19 ,02-3444-4946,키이츠서울,녹음시설 운영,"미디어,콘텐츠 제작",2,37.5209701,127.0389575
978,(주)애드파워씨엠씨,서울특별시 강남구 논현로164길 26 ,02-2191-6800,애드파워씨엠씨,광고대행업,sns,1,37.5230573,127.0302741
980,(주)케이알마케팅,서울특별시 강남구 학동로 176  ,02-792-1147,케이알마케팅,영화 및 비디오물 제작,"미디어,콘텐츠 제작",2,37.5195345,127.0537232
982,엠케이커뮤니케이션(주),서울특별시 강남구 학동로 225 ,,엠케이커뮤니케이션,사업지원서비스업,sns,1,37.5181087,127.0457549
983,(주)크리에이티브마켓,서울특별시 강남구 논현로 733 ,070-4420-3088,크리에이티브마켓,"광고 설계,작성",sns,1,37.478697,127.0444277
995,(주)디렉터마켓,서울특별시 강남구 언주로103길 17-3 ,02-555-2633,디렉터마켓,영상 제작 프러덕션,"미디어,콘텐츠 제작",2,37.5062707,127.0378898
996,(주)코코인코퍼레이션,서울특별시 강남구 선릉로100길 8 ,02-540-1402,코코인코퍼레이션,서비스기반 광고대행,sns,1,37.5069588,127.0477902
1008,(주)트루커뮤니케이션즈,서울특별시 강남구 논현로149길 69 ,02-3445-3003,트루커뮤니케이션즈,"광고기획,이벤트대행,영상판촉",sns,1,37.5162233,127.0239174
1011,(주)아이디어팩토리,서울특별시 강남구 학동로50길 7 ,02-511-7740,아이디어팩토리,서비스기반 광고대행,sns,1,37.5162643,127.0400909
1018,(주)하이터치컴퍼니,서울특별시 강남구 도산대로89길 19-4  ,02-545-8445,하이터치컴퍼니,광고매체 판매업,sns,1,37.525956,127.0509927
1020,(주)홍보대행사이룸(주),서울특별시 강남구 학동로 312 ,02-2033-9948,홍보대행사이룸,온오프라인 마케팅,마케팅 브랜딩 조사,4,37.5155373,127.0367491
1022,(주)위나이스컴퍼니,서울특별시 강남구 도산대로8길 12 ,02-6097-0788,위나이스컴퍼니,옥외광고,sns,1,37.5160028,127.0220905
1025,(주)아이브이유아이(주),서울특별시 강남구 강남대로58길 59 ,02-588-0493,아이브이아이,"부동산 중계 , 대리업",주거,2025-주거,37.4898317,127.0344918
1032,이월삼십일일(주),서울특별시 강남구 선릉로111길 37,02-3447-0231,이월삼십일일,광고 영화 및 비디오물 제작업,"미디어,콘텐츠 제작",2,37.5104829,127.0416912
1035,(주)블랙팀,서울특별시 강남구 테헤란로 503  ,02-3453-8280,블랙팀,"광고물 문안, 도안 , 설계 등 작성업",디자인,3,37.5088008,127.0624537
1040,(주)아이소바코리아,서울특별시 강남구 테헤란로79길 6 ,02-6005-0824,아이소바코리아,정보통신업,교통/운송,9,37.5073082,127.0555879
1041,(주)스토리필름,서울특별시 강남구 선릉로125길 21-2,02-540-0204,스토리필름,정보통신업,교통/운송,9,37.5147338,127.040592
1043,(주)브랜드테이크아웃,서울특별시 강남구 강남대로152길 14,02-544-0022,브랜드테이크아웃,도매 및 소매업,주거,2025-주거,37.5171644,127.0207056
1046,(주)애드앤파크커뮤니케이션,서울특별시 강남구 논현로 708 ,02-512-0719,애드앤파크커뮤니케이션,"전문, 과학 및 기술 서비스업",IT,5,37.5152366,127.0305108
1049,(주)뷰스컴퍼니,서울특별시 강남구 강남대로 340,070-4042-4340,뷰스컴퍼니,의류/패션/잡화/뷰티,화장품,2025-화장품,37.4977112,127.0278273
1054,(주)유레카컨텐츠그룹,서울특별시 강남구 압구정로2길 60 ,02-6672-6542,레카컨텐츠그룹,연예/엔터테인먼트,엔터테이먼트,8,37.5179603,127.0213217
1056,(주)지엔에이,서울특별시 강남구 논현로85길 47,032-715-4141,지엔에이,"협회 및 단체, 수리 및 기타 개인서비스",교통/운송,9,37.4979904,127.0344217
1060,머큐리프로젝트 주식회사,서울특별시 강남구 봉은사로38길 13 ,02-565-0829,머큐리프로젝트식회사,"전문, 과학 및 기술 서비스업",IT,5,37.5067066,127.0380363
1061,(주)인연엔터테인먼트,서울특별시 강남구 학동로3길 41,02-511-2740,인연엔터테인먼트,매니저업,마케팅 브랜딩 조사,4,37.5127878,127.0221947
1064,주식회사 제니크,서울특별시 강남구 언주로113길 7 ,02-6083-5801,식회사 제니크,정보통신업,sns,1,37.5092972,127.0367637
1080,주식회사 퀸즈코퍼레이션,서울특별시 강남구 테헤란로37길 7,02-1577-2943,식회사 퀸즈코퍼레이션,종합몰/ 건강/식품,식제품,2025-식제품,37.5027543,127.0405496
1081,앨리슨모스 주식회사,서울특별시 강남구 테헤란로87길 36,02-6295-7357,앨리슨모스식회사,홍보물또는연간보고서,디자인,3,37.5125275,127.0588489
1083,(주)차이커뮤니케이션,서울특별시 강남구 학동로43길 6 ,02-2017-8800,차이커뮤니케이션,방송·광고·영상·오디오,"미디어,콘텐츠 제작",2,37.5164075,127.0374727
1084,주식회사 이씨이십일,서울특별시 강남구 영동대로 511 ,02-6000-4443,식회사 이씨이십일,소프트웨어자문개발,IT,5,37.5104043,127.0612229
1098,주식회사 제휴합시다,서울특별시 강남구 테헤란로84길 17 ,070-8241-1225,식회사 제휴합시다,도매 및 소매업,마케팅 브랜딩 조사,4,37.5061098,127.0589983
1099,(주)팀육십일,서울특별시 강남구 도산대로 171,02-3445-0061,팀육십일,매니저업,마케팅 브랜딩 조사,4,37.521407,127.0336791
1104,주식회사 홍천인터내셔날,서울특별시 강남구 도산대로 307,02-513-4083,식회사 홍천인터내셔날,상품 종합 도매업,sns,1,37.5244899,127.0502131
1114,주식회사 티피에이미디어,서울특별시 강남구 영동대로 735 ,02-6941-0510,식회사 티피에이미디어,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업","미디어,콘텐츠 제작",2,37.5234315,127.054578
1115,(주)와우매니지먼트그룹,서울특별시 강남구 도산대로 458,02-570-1900,와우매니지먼트그룹,스포츠 서비스업,엔터테이먼트,8,37.5238456,127.0467767
1116,로드원오원 주식회사,서울특별시 강남구 도산대로 317 ,02-515-2200,로드원오원식회사,광고 영화 및 비디오물 제작업,"미디어,콘텐츠 제작",2,37.5225731,127.0360641
1117,주식회사 더에스엠씨 그룹,서울특별시 강남구 봉은사로49길 22 ,,식회사 더에스엠씨 그룹,"온라인광고 대행,시스템통합 구축,마케팅 컨설팅",마케팅 브랜딩 조사,4,37.5112843,127.0418039
1118,(주)머스트에이,서울특별시 강남구 역삼로23길 8 ,02-568-0920,머스트에이,"전문, 과학 및 기술 서비스업",IT,5,37.4959647,127.0379929
1123,(주)투모로우컴퍼니,서울특별시 강남구 언주로126길 17 ,02-517-9157,투모로우컴퍼니,정보통신업,교통/운송,9,37.5138091,127.0373057
1130,주식회사 에그크리에이티브,서울특별시 강남구 봉은사로74길 20,02-538-2230,식회사 에그크리에이티브,홍보및마케팅서비스,전시,6,37.5112581,127.0521823
1131,(주)애드가엑스퍼트,서울특별시 강남구 도산대로30길 34 ,02-541-1637,애드가엑스퍼트,종이인쇄물제작서비스,"미디어,콘텐츠 제작",2,37.5182148,127.0300974
1135,(주)애드크루즈,서울특별시 강남구 강남대로158길 19 ,02-515-8948,애드크루즈,"광고기획, 광고매체 판매업, 컨텐츠 제작 및 수출입업",마케팅 브랜딩 조사,4,37.5192343,127.0204159
1136,(주)초코렛커뮤니케이션,서울특별시 강남구 강남대로154길 24 ,02-6959-3835,초코렛커뮤니케이션,"영상제작 및 비디오물 제작, 디자인, 출판업, 교육기획","미디어,콘텐츠 제작",2,37.5178757,127.0211167
1138,주식회사 빅벨이엔엠,서울특별시 강남구 선릉로 704 ,,식회사 빅벨이엔엠,방송 프로그램 제작업,"미디어,콘텐츠 제작",2,37.5178527,127.0413759
1147,플러스엑스(주),서울특별시 강남구 언주로149길 17,02-518-7717,플러스엑스,컴퓨터 프로그래밍 서비스업,IT,5,37.5201311,127.032791
1153,(주)크림앤컴,서울특별시 강남구 삼성로 417 ,02-539-8889,크림앤컴,"전문, 과학 및 기술 서비스업",IT,5,37.503965,127.0570714
1159,(주)피앤에프위너스,서울특별시 강남구 학동로 520 4,02-337-1638,피앤에프위너스,매니저업,마케팅 브랜딩 조사,4,37.5181087,127.0457549
1165,주식회사 제이키,서울특별시 강남구 논현로102길 15,02-6082-6201,식회사 제이키,"광고물 문안, 도안, 설계 등 작성업","미디어,콘텐츠 제작",2,37.5052878,127.0363722
1166,(주)머스트커뮤니케이션,서울특별시 강남구 언주로86길 5 ,070-4607-4258,머스트커뮤니케이션,"마케팅, 리서치,광고기획, 제작",마케팅 브랜딩 조사,4,37.5026188,127.0462544
1177,주식회사 큐아이그룹,서울특별시 강남구 강남대로156길 14,,식회사 큐아이그룹,경영 컨설팅업,sns,1,37.518071,127.0204123
1193,카라멜츠(주),서울특별시 강남구 학동로6길 15,02-6925-7377,카라멜츠,음원제작서비스,"미디어,콘텐츠 제작",2,37.5101975,127.0251124
1194,(주)코모래비,서울특별시 강남구 봉은사로 407 ,02-515-2111,코모래비,"종합 마케팅, 컨설팅 서비스",마케팅 브랜딩 조사,4,37.5084519,127.0376678
1200,(주)더쏠트,서울특별시 강남구 삼성로95길 6,02-515-0322,더쏠트,온라인홍보및방송콘텐츠서비스(정보통신업),sns,1,37.5076866,127.0540251
1202,(주)제이지스타,서울특별시 강남구 선릉로138길 42,02-547-0825,제이지스타,홍보마케팅,마케팅 브랜딩 조사,4,37.5189759,127.044003
1209,(주)에이원퍼포먼스팩토리,서울특별시 강남구 테헤란로 501 (삼성동),02-6959-7799,에이원퍼포먼스팩토리,미디어/디자인,디자인,3,37.5066349,127.0546209
1210,(주)에스에스와이미디어,서울특별시 강남구 학동로3길 25 ,02-1566-5130,에스에스와이미디어,"광고물 문안, 도안, 설계 광고물 문안, 도안, 설계 ",디자인,3,37.5127878,127.0221947
1211,(주)스타컴기획,서울특별시 강남구 언주로 844,02-3446-9795,스타컴기획,옥외 및 전시 광고업,전시,6,37.5256583,127.0337452
1213,(주)로드맵마케팅컨설팅,서울특별시 강남구 테헤란로 521,,로드맵마케팅컨설팅,경영 컨설팅업,마케팅 브랜딩 조사,4,37.5090726,127.0607194
1216,(주)어헤드코리아,서울특별시 강남구 도산대로12길 ,02-548-0907,어헤드코리아,정보통신업,산업군별 마케팅 영역,9,37.5165307,127.0244442
1218,(주)더트러스티스,서울특별시 강남구 압구정로4길 7 ,070-8775-2223,더트러스티스,화장품 및 화장용품 도매업,화장품,2025-화장품,37.5221466,127.0201273
1222,(주)애니퍼포먼스,서울특별시 강남구 학동로33길 17,02-573-3511,애니퍼포먼스,"광고물 문안, 도안, 설계 등 작성업",디자인,3,37.5162308,127.0323023
1226,(주)스프링앤플라워,서울특별시 강남구 역삼로25길 37 ,02-538-0292,스프링앤플라워,광고 영화 및 비디오물 제작업,"미디어,콘텐츠 제작",2,37.4975797,127.0401196
1230,(주)최선씨앤씨,서울특별시 강남구 강남대로 382,02-6959-8366,최선씨앤씨,미디어/디자인,디자인,3,37.4974574,127.0288232
1236,(주)재와기획,서울특별시 강남구 영동대로 738,02-516-1203,재와기획,"전문, 과학 및 기술 서비스업",IT,5,37.5240898,127.0554007
1242,(주)애드프로패셔널,서울특별시 강남구 논현로 708 ,02-512-0719,애드프로패셔널,"온라인광고, 프로모션대행",sns,1,37.5152366,127.0305108
1253,(주)스파이럴미디어,서울특별시 강남구 논현로 518 ,02-6207-8320,스파이럴미디어,소프트웨어개발,IT,5,37.4748031,127.0476702
1255,(주)리씨디엑스,서울특별시 강남구 도산대로37길 19 ,02-556-4995,리씨디엑스,"패션, 섬유류 및 기타 전문 디자인업",화장품,2025-화장품,37.522035,127.0313364
1260,(주)크로스미디어,서울특별시 강남구 논현로86길 27,070-8666-1503,크로스미디어,"출판, 영상, 방송통신 및 정보서비스업","미디어,콘텐츠 제작",2,37.500469,127.0396498
1263,(주)더북디지털,서울특별시 강남구 봉은사로 226 ,02-3458-7430,더북디지털,종이인쇄물제작서비스,디자인,3,37.5084519,127.0376678
1264,주식회사 엘리케이트,서울특별시 강남구 테헤란로 507,,엘리케이트,동영상제작서비스,"미디어,콘텐츠 제작",2,37.5078157,127.0576669
1265,주식회사 이노빈,서울특별시 강남구 봉은사로30길 62 ,070-7731-0485,이노빈,데이터베이스 및 온라인 정보 제공업,산업군별 마케팅 영역,9,37.5035677,127.03648
